tid,mynt,candle,score,beslutning,bekreftet,fg,funding,pris,handling
2026-09-21T19:21:31Z,VVV-USDT,2026-09-21T12:00:00Z,0.6851658719917785,KJØP,False,70,5e-05,31.871,
2026-09-21T19:21:32Z,PUMP-USDT,2026-09-21T12:00:00Z,-0.00544607177406824,AVVENT,False,70,5e-05,0.004266,
2026-09-21T19:21:32Z,BB-USDT,2026-09-21T12:00:00Z,-0.20892272360126796,AVVENT,False,70,5e-05,0.008815,
2026-09-21T19:21:33Z,FET-USDT,2026-09-21T12:00:00Z,0.5536713105883412,KJØP,False,70,0.0001,0.1993,
2026-09-21T19:21:33Z,SYN-USDT,2026-09-21T12:00:00Z,0.26664751359483585,AVVENT,False,70,,0.2681,
2026-09-21T19:21:34Z,BCH-USDT,2026-09-21T12:00:00Z,0.06986469682411522,AVVENT,False,70,2.8e-05,264.81,
2026-09-21T19:21:34Z,ONE-USDT,2026-09-21T12:00:00Z,0.5997208414443634,KJØP,False,70,0.000697,0.00538,
2026-09-21T19:21:34Z,LSK-USDT,2026-09-21T12:00:00Z,0.3521478353534857,KJØP,False,70,,0.3692,
2026-09-21T19:21:35Z,XTZ-USDT,2026-09-21T12:00:00Z,0.33913114577147957,KJØP,False,70,5e-05,0.3508,
2026-09-21T19:21:35Z,RENDER-USDT,2026-09-21T12:00:00Z,0.39456269048689147,KJØP,False,70,5e-05,1.782,
2026-09-21T20:21:48Z,BTC-USDT,2026-09-21T16:00:00Z,0.28704206432398766,AVVENT,True,70,-6e-06,86984.1,
2026-09-21T20:21:49Z,ETH-USDT,2026-09-21T16:00:00Z,0.3545956732430131,KJØP,True,70,0.0001,2798.33,kjøp
2026-09-21T20:21:50Z,ZEC-USDT,2026-09-21T16:00:00Z,0.3038799991476492,KJØP,True,70,0.0001,1476.585,kjøp
2026-09-21T20:21:50Z,XMR-USDT,2026-09-21T16:00:00Z,0.44525885462559667,KJØP,True,70,0.000565,584.83,kjøp
2026-09-21T20:21:51Z,XRP-USDT,2026-09-21T16:00:00Z,0.2493191094274698,AVVENT,True,70,0.0001,1.51778,
