tid,mynt,side,mengde,pris,belop_usdt,gebyr_usdt,grunn
2026-09-22T00:29:05Z,AIOZ-USDT,KJØP,70.6638227442,0.14305,10.1186,0.0101,signal +0.50
2026-09-22T00:29:06Z,ZEN-USDT,KJØP,0.781357157,7.753,6.0639,0.0061,signal +0.30
2026-09-22T00:29:06Z,BOME-USDT,KJØP,5872.9305805306,0.0010678,6.2774,0.0063,signal +0.31
2026-09-22T00:29:07Z,ETC-USDT,KJØP,0.7349177776,8.8966,6.5448,0.0065,signal +0.33
2026-09-22T00:29:08Z,ROSE-USDT,KJØP,1170.413093933,0.00776,9.0915,0.0091,signal +0.45
2026-09-22T01:20:29Z,ONE-USDT,SELG,2734.5418432595,0.00668,18.2667,0.0183,take-profit +26.3%
2026-09-22T01:20:56Z,AIOZ-USDT,SELG,70.6638227442,0.12767,9.0217,0.009,stop-loss -10.8%
2026-09-22T03:23:14Z,USELESS-USDT,SELG,40.3255331416,0.2544,10.2588,0.0103,stop-loss -10.3%
2026-09-22T16:23:31Z,VVV-USDT,SELG,0.1766976401,31.354,5.5402,0.0055,signal svekket +0.41
2026-09-22T16:23:33Z,LSK-USDT,SELG,18.4252167894,0.3303,6.0858,0.0061,stop-loss -8.8%
2026-09-22T20:21:28Z,G-USDT,SELG,979.2645459556,0.00589,5.7679,0.0058,stop-loss -8.3%
2026-09-22T20:21:29Z,CELR-USDT,SELG,2101.720092644,0.00296,6.2211,0.0062,stop-loss -8.9%
2026-09-23T00:27:42Z,BTC-USDT,KJØP,7.29718e-05,86517.3,6.3196,0.0063,signal +0.31
2026-09-23T00:27:46Z,UNI-USDT,KJØP,0.8795666527,10.42,9.1743,0.0092,signal +0.45
2026-09-23T00:27:47Z,DOGE-USDT,KJØP,71.5624163202,0.10087,7.2257,0.0072,signal +0.36
2026-09-23T00:27:54Z,ONE-USDT,KJØP,1140.5284027185,0.005476,6.2518,0.0063,signal +0.31
2026-09-23T00:27:56Z,B2-USDT,KJØP,18.302959574,0.5343,9.7891,0.0098,signal +0.48
2026-09-23T00:28:01Z,USELESS-USDT,KJØP,39.3167495718,0.34263,13.4846,0.0135,signal +0.67
2026-09-23T00:28:02Z,CELR-USDT,KJØP,2181.4874169177,0.00306,6.682,0.0067,signal +0.33
2026-09-23T00:28:10Z,XDC-USDT,KJØP,279.8559504301,0.03101,8.687,0.0087,signal +0.43
2026-09-23T00:28:11Z,ZRO-USDT,KJØP,5.9160504549,1.3935,8.2523,0.0083,signal +0.41
2026-09-23T00:28:15Z,DATA-USDT,KJØP,38.7454800553,0.2459,9.5371,0.0095,signal +0.47
2026-09-23T00:28:17Z,AIOZ-USDT,KJØP,107.3695296837,0.12911,13.8764,0.0139,signal +0.69
2026-09-23T00:28:20Z,COQ-USDT,KJØP,50268371.05751249,1.437e-07,7.2308,0.0072,signal +0.36
2026-09-23T00:28:21Z,RSR-USDT,KJØP,5372.9562553056,0.001748,9.4013,0.0094,signal +0.47
2026-09-23T00:28:21Z,DRIFT-USDT,KJØP,514.109937128,0.02226,11.4555,0.0115,signal +0.57
2026-09-23T03:23:11Z,ONE-USDT,SELG,1140.5284027185,0.004781,5.4529,0.0055,stop-loss -12.7%
2026-09-23T04:23:42Z,ONE-USDT,KJØP,1372.3415343834,0.005249,7.2106,0.0072,signal +0.36
2026-09-23T04:23:52Z,BONK-USDT,KJØP,1661011.5374982832,3.734e-06,6.2084,0.0062,signal +0.31
2026-09-23T06:28:24Z,SYN-USDT,SELG,31.1650172282,0.2205,6.8719,0.0069,stop-loss -9.2%
2026-09-23T07:23:45Z,B2-USDT,SELG,18.302959574,0.4894,8.9575,0.009,stop-loss -8.4%
